Protein_ID;Gene Name;log2_FC;p_val;p_adj;significant;WT_vs_DPP4_significant;imputed;num_NAs;Protein.Names.x;Protein.Names.y
Q15800;MSMO1;-0.76;0.000000399;0.00000416;FALSE;FALSE;FALSE;0;MSMO1;Methylsterol monooxygenase 1
Q15813;TBCE;0.461;7.88E-08;0.000000962;FALSE;FALSE;FALSE;0;TBCE;Tubulin-specific chaperone E
Q15814;TBCC;0.227;0.293;0.425;FALSE;FALSE;FALSE;0;TBCC;Tubulin-specific chaperone C
Q15819;UBE2V2;-0.781;0.00122;0.00466;FALSE;FALSE;FALSE;0;UB2V2;Ubiquitin-conjugating enzyme E2 variant 2
Q15828;CST6;-0.506;0.0201;0.0501;FALSE;FALSE;TRUE;12;CYTM;Cystatin-M
Q15833;STXBP2;0.0728;0.408;0.543;FALSE;FALSE;FALSE;0;STXB2;Syntaxin-binding protein 2
Q15836;VAMP3;0.81;0.000000786;0.00000743;FALSE;FALSE;FALSE;0;VAMP3;Vesicle-associated membrane protein 3
Q15843;NEDD8;0.537;0.0615;0.127;FALSE;FALSE;FALSE;0;NEDD8;NEDD8
Q15904;ATP6AP1;-0.0654;0.504;0.634;FALSE;FALSE;FALSE;0;VAS1;V-type proton ATPase subunit S1
Q15906;VPS72;-0.374;0.0251;0.0602;FALSE;FALSE;FALSE;0;VPS72;Vacuolar protein sorting-associated protein 72 homolog
Q15907;RAB11B;-0.214;0.144;0.249;FALSE;FALSE;FALSE;0;RB11B;Ras-related protein Rab-11B
Q15910;EZH2;-0.421;0.00285;0.0095;FALSE;FALSE;FALSE;0;EZH2;Histone-lysine N-methyltransferase EZH2
Q16134;ETFDH;0.347;0.00034;0.00153;FALSE;FALSE;FALSE;0;ETFD;Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
Q16181;SEPTIN7;0.275;0.0000132;0.0000917;FALSE;FALSE;FALSE;0;sept-07;Septin-7
Q16186;ADRM1;0.118;0.366;0.501;FALSE;FALSE;FALSE;0;ADRM1;Proteasomal ubiquitin receptor ADRM1
Q16204;CCDC6;-0.0705;0.775;0.852;FALSE;FALSE;FALSE;0;CCDC6;Coiled-coil domain-containing protein 6
Q16222;UAP1;0.405;0.0004;0.00177;FALSE;FALSE;FALSE;0;UAP1;UDP-N-acetylhexosamine pyrophosphorylase
Q16342;PDCD2;-0.564;0.0655;0.133;FALSE;FALSE;TRUE;7;PDCD2;Programmed cell death protein 2
Q16394;EXT1;0.0207;0.944;0.966;FALSE;FALSE;FALSE;0;EXT1;Exostosin-1
Q16401;PSMD5;-0.337;0.000669;0.00277;FALSE;FALSE;FALSE;0;PSMD5;26S proteasome non-ATPase regulatory subunit 5
Q16512;PKN1;-0.123;0.231;0.357;FALSE;FALSE;FALSE;0;PKN1;Serine/threonine-protein kinase N1
Q16513;PKN2;-0.138;0.341;0.476;FALSE;FALSE;FALSE;0;PKN2;Serine/threonine-protein kinase N2
Q16527;CSRP2;0.135;0.185;0.3;FALSE;FALSE;FALSE;0;CSRP2;Cysteine and glycine-rich protein 2
Q16531;DDB1;0.0514;0.527;0.653;FALSE;FALSE;FALSE;0;DDB1;DNA damage-binding protein 1
Q16533;SNAPC1;0.0473;0.765;0.845;FALSE;FALSE;FALSE;0;SNPC1;snRNA-activating protein complex subunit 1
Q16537;PPP2R5E;0.125;0.101;0.188;FALSE;FALSE;FALSE;0;2A5E;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform
Q16539;MAPK14;-0.321;0.121;0.217;FALSE;FALSE;FALSE;0;MK14;Mitogen-activated protein kinase 14
Q16540;MRPL23;0.122;0.188;0.304;FALSE;FALSE;FALSE;0;RM23;Large ribosomal subunit protein uL23m
Q16543;CDC37;0.0121;0.877;0.921;FALSE;FALSE;FALSE;0;CDC37;Hsp90 co-chaperone Cdc37
Q16555;DPYSL2;0.466;0.00000057;0.00000557;FALSE;FALSE;FALSE;0;DPYL2;Dihydropyrimidinase-related protein 2
Q16563;SYPL1;-0.181;0.727;0.817;FALSE;FALSE;FALSE;0;SYPL1;Synaptophysin-like protein 1
Q16576;RBBP7;-0.278;0.056;0.117;FALSE;FALSE;FALSE;0;RBBP7;Histone-binding protein RBBP7
Q16594;TAF9;0.254;0.32;0.454;FALSE;FALSE;FALSE;0;TAF9;Transcription initiation factor TFIID subunit 9
Q16595;FXN;-0.208;0.0806;0.157;FALSE;FALSE;FALSE;0;FRDA;Frataxin, mitochondrial
Q16611;BAK1;0.594;0.377;0.512;FALSE;FALSE;TRUE;5;BAK;Bcl-2 homologous antagonist/killer
Q16626;MEA1;0.0768;0.774;0.851;FALSE;FALSE;FALSE;0;MEA1;Male-enhanced antigen 1
Q16629;SRSF7;-0.127;0.403;0.538;FALSE;FALSE;FALSE;0;SRSF7;Serine/arginine-rich splicing factor 7
Q16630;CPSF6;0.0908;0.152;0.259;FALSE;FALSE;FALSE;0;CPSF6;Cleavage and polyadenylation specificity factor subunit 6
Q16637;SMN1;-0.215;0.536;0.66;FALSE;FALSE;FALSE;0;SMN;Survival motor neuron protein
Q16643;DBN1;0.616;2.94E-10;7.62E-09;FALSE;FALSE;FALSE;0;DREB;Drebrin
Q16644;MAPKAPK3;0.192;0.00528;0.016;FALSE;FALSE;FALSE;0;MAPK3;MAP kinase-activated protein kinase 3
Q16656;NRF1;-0.00691;0.991;0.995;FALSE;FALSE;TRUE;7;NRF1;Nuclear respiratory factor 1
Q16658;FSCN1;-0.0933;0.437;0.57;FALSE;FALSE;FALSE;0;FSCN1;Fascin
Q16667;CDKN3;-0.623;0.000000334;0.00000354;FALSE;FALSE;FALSE;0;CDKN3;Cyclin-dependent kinase inhibitor 3
Q16678;CYP1B1;-0.558;0.0114;0.0309;FALSE;FALSE;TRUE;12;CP1B1;Cytochrome P450 1B1
Q16698;DECR1;0.197;0.066;0.134;FALSE;FALSE;FALSE;0;DECR;2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial
Q16706;MAN2A1;0.301;0.271;0.4;FALSE;FALSE;FALSE;0;MA2A1;Alpha-mannosidase 2
Q16718;NDUFA5;0.09;0.475;0.606;FALSE;FALSE;FALSE;0;NDUA5;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
Q16740;CLPP;-0.381;0.0106;0.0293;FALSE;FALSE;FALSE;0;CLPP;ATP-dependent Clp protease proteolytic subunit, mitochondrial
Q16762;TST;-0.621;3.54E-10;8.90E-09;FALSE;FALSE;FALSE;0;THTR;Thiosulfate sulfurtransferase
Q16763;UBE2S;-0.557;0.00014;0.000715;FALSE;FALSE;FALSE;0;UBE2S;Ubiquitin-conjugating enzyme E2 S
Q16774;GUK1;0.335;0.000227;0.00109;FALSE;FALSE;FALSE;0;KGUA;Guanylate kinase
Q16775;HAGH;0.482;0.00000141;0.0000125;FALSE;FALSE;FALSE;0;GLO2;Hydroxyacylglutathione hydrolase, mitochondrial
Q16777;H2AC20;-0.219;0.0605;0.125;FALSE;FALSE;FALSE;0;H2A2C;Histone H2A type 2-C
Q16787;LAMA3;-0.934;5.37E-09;9.39E-08;FALSE;FALSE;FALSE;0;LAMA3;Laminin subunit alpha-3
Q16795;NDUFA9;0.24;0.0228;0.0557;FALSE;FALSE;FALSE;0;NDUA9;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial
Q16822;PCK2;-0.781;8.64E-10;2.01E-08;FALSE;FALSE;FALSE;0;PCKGM;Phosphoenolpyruvate carboxykinase [GTP], mitochondrial
Q16828;DUSP6;0.213;0.592;0.709;FALSE;FALSE;TRUE;13;DUS6;Dual specificity protein phosphatase 6
Q16831;UPP1;-0.657;0.000000105;0.00000125;FALSE;FALSE;FALSE;0;UPP1;Uridine phosphorylase 1
Q16836;HADH;-0.329;0.0938;0.177;FALSE;FALSE;FALSE;0;HCDH;Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial
Q16850;CYP51A1;-0.661;0.00589;0.0176;FALSE;FALSE;FALSE;0;CP51A;Lanosterol 14-alpha demethylase
Q16851;UGP2;-0.158;0.112;0.204;FALSE;FALSE;FALSE;0;UGPA;UTP--glucose-1-phosphate uridylyltransferase
Q16864;ATP6V1F;0.0327;0.933;0.958;FALSE;FALSE;TRUE;4;VATF;V-type proton ATPase subunit F
Q16877;PFKFB4;-0.645;0.00398;0.0126;FALSE;FALSE;FALSE;0;F264;6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4
Q16890;TPD52L1;-0.676;0.00351;0.0114;FALSE;FALSE;TRUE;4;TPD53;Tumor protein D53
Q16891;IMMT;0.022;0.644;0.751;FALSE;FALSE;FALSE;0;MIC60;MICOS complex subunit MIC60
Q17R31;TATDN3;0.16;0.665;0.768;FALSE;FALSE;TRUE;4;TATD3;Putative deoxyribonuclease TATDN3
Q17R98;ZNF827;-0.37;0.366;0.501;FALSE;FALSE;TRUE;13;ZN827;Zinc finger protein 827
Q17RN3;FAM98C;-0.23;0.326;0.461;FALSE;FALSE;TRUE;1;FA98C;Protein FAM98C
Q17RY0;CPEB4;0.634;0.000916;0.00364;FALSE;FALSE;FALSE;0;CPEB4;Cytoplasmic polyadenylation element-binding protein 4
Q1ED39;KNOP1;-0.475;0.102;0.189;FALSE;FALSE;TRUE;2;KNOP1;Lysine-rich nucleolar protein 1
Q1KMD3;HNRNPUL2;0.0661;0.281;0.412;FALSE;FALSE;FALSE;0;HNRL2;Heterogeneous nuclear ribonucleoprotein U-like protein 2
Q27J81;INF2;0.747;1.65E-08;0.000000244;FALSE;FALSE;FALSE;0;INF2;Inverted formin-2
Q29RF7;PDS5A;-0.322;0.00115;0.00444;FALSE;FALSE;FALSE;0;PDS5A;Sister chromatid cohesion protein PDS5 homolog A
Q2KHR3;QSER1;-0.189;0.068;0.137;FALSE;FALSE;FALSE;0;QSER1;Glutamine and serine-rich protein 1
Q2KHT3;CLEC16A;0.172;0.59;0.708;FALSE;FALSE;TRUE;9;CL16A;Protein CLEC16A
Q2M1Z3;ARHGAP31;0.677;0.0000989;0.00053;FALSE;FALSE;TRUE;2;RHG31;Rho GTPase-activating protein 31
Q2M2I8;AAK1;0.689;3.67E-11;1.20E-09;FALSE;FALSE;FALSE;0;AAK1;AP2-associated protein kinase 1
Q2M389;WASHC4;0.867;2.32E-08;0.000000329;FALSE;FALSE;FALSE;0;WASC4;WASH complex subunit 4
Q2NKX8;ERCC6L;-0.153;0.15;0.257;FALSE;FALSE;FALSE;0;ERC6L;DNA excision repair protein ERCC-6-like
Q2NL82;TSR1;-0.228;0.134;0.235;FALSE;FALSE;FALSE;0;TSR1;Pre-rRNA-processing protein TSR1 homolog
Q2PZI1;DPY19L1;0.124;0.0797;0.156;FALSE;FALSE;FALSE;0;D19L1;Protein C-mannosyl-transferase DPY19L1
Q2T9J0;TYSND1;0.302;0.15;0.257;FALSE;FALSE;FALSE;0;TYSD1;Peroxisomal leader peptide-processing protease
Q2TAL8;QRICH1;0.14;0.0842;0.163;FALSE;FALSE;FALSE;0;QRIC1;Transcriptional regulator QRICH1
Q2TAM9;TUSC1;-0.218;0.0455;0.0985;FALSE;FALSE;FALSE;0;TUSC1;Tumor suppressor candidate gene 1 protein
Q2TAY7;SMU1;-0.271;0.00133;0.00501;FALSE;FALSE;FALSE;0;SMU1;WD40 repeat-containing protein SMU1
Q2TAZ0;ATG2A;0.664;0.000982;0.00386;FALSE;FALSE;FALSE;0;ATG2A;Autophagy-related protein 2 homolog A
Q2VPB7;AP5B1;-0.00649;0.98;0.987;FALSE;FALSE;TRUE;15;AP5B1;AP-5 complex subunit beta-1
Q2VPK5;CTU2;-0.273;0.179;0.292;FALSE;FALSE;FALSE;0;CTU2;Cytoplasmic tRNA 2-thiolation protein 2
Q32MZ4;LRRFIP1;0.04;0.615;0.73;FALSE;FALSE;FALSE;0;LRRF1;Leucine-rich repeat flightless-interacting protein 1
Q32NB8;PGS1;0.337;0.0229;0.0557;FALSE;FALSE;FALSE;0;PGPS1;CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial
Q32NC0;C18orf21;-0.421;0.0203;0.0505;FALSE;FALSE;TRUE;1;CR021;UPF0711 protein C18orf21
Q32P28;P3H1;0.824;1.53E-14;1.80E-12;FALSE;FALSE;FALSE;0;P3H1;Prolyl 3-hydroxylase 1
Q32P41;TRMT5;-0.3;0.0000139;0.0000963;FALSE;FALSE;FALSE;0;TRM5;tRNA (guanine(37)-N1)-methyltransferase
Q32P44;EML3;0.0981;0.372;0.508;FALSE;FALSE;FALSE;0;EMAL3;Echinoderm microtubule-associated protein-like 3
Q32P51;HNRNPA1L2;-0.0605;0.946;0.967;FALSE;FALSE;TRUE;8;RA1L2;Heterogeneous nuclear ribonucleoprotein A1-like 2
Q3B726;POLR1F;-0.0812;0.467;0.599;FALSE;FALSE;FALSE;0;RPA43;DNA-directed RNA polymerase I subunit RPA43
Q3KQU3;MAP7D1;0.0874;0.194;0.311;FALSE;FALSE;FALSE;0;MA7D1;MAP7 domain-containing protein 1
Q3MHD2;LSM12;0.204;0.0314;0.0725;FALSE;FALSE;FALSE;0;LSM12;Protein LSM12
Q3MIP1;ITPRIPL2;-0.211;0.768;0.847;FALSE;FALSE;TRUE;12;IPIL2;Inositol 1,4,5-trisphosphate receptor-interacting protein-like 2
Q3MIR4;TMEM30B;-0.881;0.0029;0.00965;FALSE;FALSE;TRUE;11;CC50B;Cell cycle control protein 50B
Q3SXM5;HSDL1;0.511;0.269;0.399;FALSE;FALSE;TRUE;2;HSDL1;Inactive hydroxysteroid dehydrogenase-like protein 1
Q3YEC7;RABL6;0.243;0.408;0.543;FALSE;FALSE;FALSE;0;RABL6;Rab-like protein 6
Q3ZAQ7;VMA21;-0.328;0.687;0.788;FALSE;FALSE;FALSE;0;VMA21;Vacuolar ATPase assembly integral membrane protein VMA21
Q3ZCM7;TUBB8;0.0752;0.268;0.397;FALSE;FALSE;FALSE;0;TBB8;Tubulin beta-8 chain
Q3ZCQ8;TIMM50;0.354;0.00121;0.00463;FALSE;FALSE;FALSE;0;TIM50;Mitochondrial import inner membrane translocase subunit TIM50
Q3ZCW2;LGALSL;0.218;0.406;0.541;FALSE;FALSE;FALSE;0;LEGL;Galectin-related protein
Q460N5;PARP14;-0.0439;0.458;0.59;FALSE;FALSE;FALSE;0;PAR14;Protein mono-ADP-ribosyltransferase PARP14
Q495W5;FUT11;0.589;0.0000881;0.000481;FALSE;FALSE;FALSE;0;FUT11;Alpha-(1,3)-fucosyltransferase 11
Q499Z4;ZNF672;0.206;0.311;0.444;FALSE;FALSE;TRUE;13;ZN672;Zinc finger protein 672
Q49A26;GLYR1;-0.184;0.356;0.492;FALSE;FALSE;FALSE;0;GLYR1;Cytokine-like nuclear factor N-PAC
Q49AR2;C5orf22;-0.397;0.000142;0.000723;FALSE;FALSE;FALSE;0;CE022;UPF0489 protein C5orf22
Q49B96;COX19;0.251;0.27;0.399;FALSE;FALSE;FALSE;0;COX19;Cytochrome c oxidase assembly protein COX19
Q4G0F5;VPS26B;0.542;0.000425;0.00186;FALSE;FALSE;FALSE;0;VP26B;Vacuolar protein sorting-associated protein 26B
Q4G0J3;LARP7;-0.214;0.00302;0.01;FALSE;FALSE;FALSE;0;LARP7;La-related protein 7
Q4G0N4;NADK2;-0.308;0.054;0.114;FALSE;FALSE;FALSE;0;NAKD2;NAD kinase 2, mitochondrial
Q4G0X4;KCTD21;0.251;0.383;0.519;FALSE;FALSE;TRUE;6;KCD21;BTB/POZ domain-containing protein KCTD21
Q4G148;GXYLT1;0.325;0.0794;0.156;FALSE;FALSE;TRUE;1;GXLT1;Glucoside xylosyltransferase 1
Q4G176;ACSF3;-0.0382;0.71;0.804;FALSE;FALSE;FALSE;0;ACSF3;Malonate--CoA ligase ACSF3, mitochondrial
Q4J6C6;PREPL;0.439;0.00000188;0.000016;FALSE;FALSE;FALSE;0;PPCEL;Prolyl endopeptidase-like
Q4KMP7;TBC1D10B;0.349;0.00776;0.0224;FALSE;FALSE;FALSE;0;TB10B;TBC1 domain family member 10B
Q4KMQ2;ANO6;0.115;0.275;0.405;FALSE;FALSE;FALSE;0;ANO6;Anoctamin-6
Q4L235;AASDH;-0.283;0.157;0.265;FALSE;FALSE;TRUE;11;ACSF4;Beta-alanine-activating enzyme
Q4V328;GRIPAP1;0.921;6.89E-14;6.05E-12;FALSE;FALSE;FALSE;0;GRAP1;GRIP1-associated protein 1
Q4VC31;MIX23;-0.448;0.169;0.281;FALSE;FALSE;FALSE;0;MIX23;Protein MIX23
Q4VXU2;PABPC1L;-0.208;0.751;0.834;FALSE;FALSE;TRUE;4;PAP1L;Polyadenylate-binding protein 1-like
Q52LJ0;FAM98B;0.335;0.0000559;0.000324;FALSE;FALSE;FALSE;0;FA98B;Protein FAM98B
Q52LW3;ARHGAP29;0.0943;0.0654;0.133;FALSE;FALSE;FALSE;0;RHG29;Rho GTPase-activating protein 29
Q53EL6;PDCD4;-0.284;0.000729;0.00299;FALSE;FALSE;FALSE;0;PDCD4;Programmed cell death protein 4
Q53EP0;FNDC3B;-0.0252;0.885;0.928;FALSE;FALSE;FALSE;0;FND3B;Fibronectin type III domain-containing protein 3B
Q53ET0;CRTC2;0.367;0.0529;0.112;FALSE;FALSE;TRUE;1;CRTC2;CREB-regulated transcription coactivator 2
Q53EU6;GPAT3;-0.642;0.0506;0.108;FALSE;FALSE;TRUE;4;GPAT3;Glycerol-3-phosphate acyltransferase 3
Q53EZ4;CEP55;0.342;0.00367;0.0118;FALSE;FALSE;FALSE;0;CEP55;Centrosomal protein of 55 kDa
Q53F19;NCBP3;-0.556;0.000000364;0.00000382;FALSE;FALSE;FALSE;0;NCBP3;Nuclear cap-binding protein subunit 3
Q53FA7;TP53I3;0.71;0.0012;0.00459;FALSE;FALSE;FALSE;0;QORX;Quinone oxidoreductase PIG3
Q53G44;IFI44L;-0.632;0.00232;0.00803;FALSE;FALSE;TRUE;14;IF44L;Interferon-induced protein 44-like
Q53GA4;PHLDA2;0.484;0.000385;0.00171;FALSE;FALSE;FALSE;0;PHLA2;Pleckstrin homology-like domain family A member 2
Q53GQ0;HSD17B12;0.265;0.00547;0.0165;FALSE;FALSE;FALSE;0;DHB12;Very-long-chain 3-oxoacyl-CoA reductase
Q53GS7;GLE1;-0.0222;0.873;0.919;FALSE;FALSE;FALSE;0;GLE1;mRNA export factor GLE1
Q53GS9;USP39;0.319;0.000893;0.00357;FALSE;FALSE;FALSE;0;UBP39;Ubiquitin carboxyl-terminal hydrolase 39
Q53H12;AGK;-0.105;0.299;0.432;FALSE;FALSE;FALSE;0;AGK;Acylglycerol kinase, mitochondrial
Q53H82;LACTB2;-0.198;0.088;0.168;FALSE;FALSE;FALSE;0;LACB2;Endoribonuclease LACTB2
Q53H96;PYCR3;0.231;0.00208;0.00733;FALSE;FALSE;FALSE;0;P5CR3;Pyrroline-5-carboxylate reductase 3
Q53HC9;EIPR1;0.393;0.00191;0.00679;FALSE;FALSE;FALSE;0;EIPR1;EARP and GARP complex-interacting protein 1
Q53HL2;CDCA8;-0.691;0.00111;0.00431;FALSE;FALSE;TRUE;1;BOREA;Borealin
Q53LP3;SOWAHC;0.332;0.0102;0.0283;FALSE;FALSE;FALSE;0;SWAHC;Ankyrin repeat domain-containing protein SOWAHC
Q53S33;BOLA3;0.159;0.561;0.681;FALSE;FALSE;TRUE;1;BOLA3;BolA-like protein 3
Q53SF7;COBLL1;0.403;0.21;0.331;FALSE;FALSE;TRUE;7;COBL1;Cordon-bleu protein-like 1
Q53T59;HS1BP3;0.716;1.87E-09;3.87E-08;FALSE;FALSE;FALSE;0;H1BP3;HCLS1-binding protein 3
Q562E7;WDR81;0.095;0.732;0.821;FALSE;FALSE;TRUE;10;WDR81;WD repeat-containing protein 81
Q562F6;SGO2;0.162;0.505;0.634;FALSE;FALSE;FALSE;0;SGO2;Shugoshin 2
Q562R1;ACTBL2;0.428;0.26;0.388;FALSE;FALSE;FALSE;0;ACTBL;Beta-actin-like protein 2
Q567U6;CCDC93;0.294;0.0115;0.0311;FALSE;FALSE;FALSE;0;CCD93;Coiled-coil domain-containing protein 93
Q567V2;MPV17L2;-0.032;0.954;0.97;FALSE;FALSE;TRUE;10;M17L2;Mpv17-like protein 2
Q56VL3;OCIAD2;-0.482;0.000000512;0.00000514;FALSE;FALSE;FALSE;0;OCAD2;OCIA domain-containing protein 2
Q58FF6;HSP90AB4P;0.0568;0.515;0.642;FALSE;FALSE;FALSE;0;H90B4;Putative heat shock protein HSP 90-beta 4
Q58FF7;HSP90AB3P;-0.178;0.705;0.8;FALSE;FALSE;FALSE;0;H90B3;Putative heat shock protein HSP 90-beta-3
Q58FG0;HSP90AA5P;0.746;0.0907;0.172;FALSE;FALSE;TRUE;3;HS905;Putative heat shock protein HSP 90-alpha A5
Q58FG1;HSP90AA4P;0.257;0.628;0.74;FALSE;FALSE;FALSE;0;HS904;Putative heat shock protein HSP 90-alpha A4
Q58WW2;DCAF6;0.343;0.00448;0.0139;FALSE;FALSE;FALSE;0;DCAF6;DDB1- and CUL4-associated factor 6
Q5BJD5;TMEM41B;0.119;0.444;0.577;FALSE;FALSE;FALSE;0;TM41B;Transmembrane protein 41B
Q5BKZ1;ZNF326;-0.129;0.0599;0.124;FALSE;FALSE;FALSE;0;ZN326;DBIRD complex subunit ZNF326
Q5C9Z4;NOM1;-0.0434;0.594;0.71;FALSE;FALSE;FALSE;0;NOM1;Nucleolar MIF4G domain-containing protein 1
Q5D0E6;DALRD3;-0.015;0.952;0.97;FALSE;FALSE;TRUE;11;DALD3;DALR anticodon-binding domain-containing protein 3
Q5D862;FLG2;0.355;0.391;0.526;FALSE;FALSE;TRUE;4;FILA2;Filaggrin-2
Q5EBL4;RILPL1;0.034;0.713;0.806;FALSE;FALSE;FALSE;0;RIPL1;RILP-like protein 1
Q5EBL8;PDZD11;-0.0155;0.953;0.97;FALSE;FALSE;FALSE;0;PDZ11;PDZ domain-containing protein 11
Q5F1R6;DNAJC21;-0.15;0.0648;0.132;FALSE;FALSE;FALSE;0;DJC21;DnaJ homolog subfamily C member 21
Q5FBB7;SGO1;0.00454;0.985;0.99;FALSE;FALSE;TRUE;10;SGO1;Shugoshin 1
Q5GLZ8;HERC4;-0.0944;0.419;0.552;FALSE;FALSE;FALSE;0;HERC4;Probable E3 ubiquitin-protein ligase HERC4
Q5H9F3;BCORL1;0.0646;0.793;0.865;FALSE;FALSE;TRUE;13;BCORL;BCL-6 corepressor-like protein 1
Q5H9R7;PPP6R3;-0.0797;0.294;0.426;FALSE;FALSE;FALSE;0;PP6R3;Serine/threonine-protein phosphatase 6 regulatory subunit 3
Q5HYI8;RABL3;0.236;0.286;0.418;FALSE;FALSE;FALSE;0;RABL3;Rab-like protein 3
Q5HYK3;COQ5;0.00234;0.988;0.993;FALSE;FALSE;FALSE;0;COQ5;2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
Q5J8M3;EMC4;-0.0248;0.873;0.919;FALSE;FALSE;FALSE;0;EMC4;ER membrane protein complex subunit 4
Q5JPH6;EARS2;-0.899;0.0138;0.0363;FALSE;FALSE;TRUE;3;SYEM;Nondiscriminating glutamyl-tRNA synthetase EARS2, mitochondrial
Q5JPI3;C3orf38;0.531;0.0811;0.158;FALSE;FALSE;TRUE;9;CC038;Uncharacterized protein C3orf38
Q5JPI9;EEF1AKMT2;-0.038;0.885;0.928;FALSE;FALSE;TRUE;1;EFMT2;EEF1A lysine methyltransferase 2
Q5JRA6;MIA3;0.401;1.63E-09;3.44E-08;FALSE;FALSE;FALSE;0;TGO1;Transport and Golgi organization protein 1 homolog
Q5JRX3;PITRM1;0.193;0.0109;0.0297;FALSE;FALSE;FALSE;0;PREP;Presequence protease, mitochondrial
Q5JS54;PSMG4;-0.547;0.00000172;0.0000149;FALSE;FALSE;FALSE;0;PSMG4;Proteasome assembly chaperone 4
Q5JSH3;WDR44;-0.0852;0.796;0.867;FALSE;FALSE;FALSE;0;WDR44;WD repeat-containing protein 44
Q5JSZ5;PRRC2B;-0.25;0.0287;0.0672;FALSE;FALSE;FALSE;0;PRC2B;Protein PRRC2B
Q5JTD0;TJAP1;-0.0871;0.641;0.749;FALSE;FALSE;FALSE;0;TJAP1;Tight junction-associated protein 1
Q5JTH9;RRP12;-0.21;0.00443;0.0138;FALSE;FALSE;FALSE;0;RRP12;RRP12-like protein
Q5JTJ3;COA6;-0.589;0.0000622;0.000354;FALSE;FALSE;FALSE;0;COA6;Cytochrome c oxidase assembly factor 6 homolog
Q5JTV8;TOR1AIP1;-0.0714;0.452;0.585;FALSE;FALSE;FALSE;0;TOIP1;Torsin-1A-interacting protein 1
Q5JTZ9;AARS2;0.283;0.00215;0.00753;FALSE;FALSE;FALSE;0;SYAM;Alanine--tRNA ligase, mitochondrial
Q5JU85;IQSEC2;0.358;0.102;0.189;FALSE;FALSE;TRUE;9;IQEC2;IQ motif and SEC7 domain-containing protein 2
Q5JUR7;TEX30;0.333;0.0476;0.102;FALSE;FALSE;FALSE;0;TEX30;Testis-expressed protein 30
Q5JVF3;PCID2;-0.208;0.205;0.326;FALSE;FALSE;FALSE;0;PCID2;PCI domain-containing protein 2
Q5JWF2;GNAS;0.0442;0.638;0.748;FALSE;FALSE;FALSE;0;GNAS1;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas
Q5K4L6;SLC27A3;0.00874;0.953;0.97;FALSE;FALSE;FALSE;0;S27A3;Long-chain fatty acid transport protein 3
Q5K651;SAMD9;-0.816;9.05E-12;3.75E-10;FALSE;FALSE;FALSE;0;SAMD9;Sterile alpha motif domain-containing protein 9
Q5M775;SPECC1;-0.873;4.53E-10;1.11E-08;FALSE;FALSE;FALSE;0;CYTSB;Cytospin-B
Q5MNZ6;WDR45B;0.183;0.104;0.193;FALSE;FALSE;FALSE;0;WIPI3;WD repeat domain phosphoinositide-interacting protein 3
Q5PRF9;SAMD4B;0.0558;0.898;0.936;FALSE;FALSE;TRUE;10;SMAG2;Protein Smaug homolog 2
Q5QJ74;TBCEL;0.147;0.325;0.459;FALSE;FALSE;FALSE;0;TBCEL;Tubulin-specific chaperone cofactor E-like protein
Q5QJE6;DNTTIP2;-0.248;0.000215;0.00104;FALSE;FALSE;FALSE;0;TDIF2;Deoxynucleotidyltransferase terminal-interacting protein 2
Q5QP82;DCAF10;0.0854;0.749;0.832;FALSE;FALSE;TRUE;7;DCA10;DDB1- and CUL4-associated factor 10
Q5R372;RABGAP1L;-0.00464;0.988;0.993;FALSE;FALSE;TRUE;11;RBG1L;Rab GTPase-activating protein 1-like
Q5R3I4;TTC38;-0.219;0.0262;0.0622;FALSE;FALSE;FALSE;0;TTC38;Tetratricopeptide repeat protein 38
Q5RI15;COX20;-0.0715;0.315;0.448;FALSE;FALSE;FALSE;0;COX20;Cytochrome c oxidase assembly protein COX20, mitochondrial
Q5RKV6;EXOSC6;-0.4;0.000413;0.00182;FALSE;FALSE;FALSE;0;EXOS6;Exosome complex component MTR3
Q5SNT2;TMEM201;-0.364;0.13;0.229;FALSE;FALSE;FALSE;0;TM201;Transmembrane protein 201
Q5SRE5;NUP188;-0.0499;0.745;0.83;FALSE;FALSE;FALSE;0;NU188;Nucleoporin NUP188
Q5SSJ5;HP1BP3;0.761;5.07E-12;2.24E-10;FALSE;FALSE;FALSE;0;HP1B3;Heterochromatin protein 1-binding protein 3
Q5ST30;VARS2;0.208;0.064;0.131;FALSE;FALSE;FALSE;0;SYVM;Valine--tRNA ligase, mitochondrial
Q5SVS4;SLC25A30;0.0267;0.874;0.92;FALSE;FALSE;TRUE;11;KMCP1;Kidney mitochondrial carrier protein 1
